Meter,Mean Daily kWh (2022)
Toevoer toren 1,33.25409836065574
Afvoer toren 1,16.25136612021858
Afvoer toren 3,22.57377049180328
Toevoer toren 2,33.15573770491803
Afvoer toren 2,15.385245901639344
Toevoer toren 3,27.243169398907103
Afvoer toren 4,22.887978142076502
Toevoer toren 5,18.636612021857925
Afvoer toren 5,0.0
Toevoer toren 4,23.437158469945356
Toevoer toren 7,33.52732240437158
Toevoer toren 6,24.560109289617486
Afvoer toren 6,13.53825136612022
Afvoer toren 7,19.185792349726775
Afvoer toren 8,20.325136612021858
Toevoer toren 8,33.80054644808743
Toevoer bijgebouw,42.00273224043716
Afvoer bijgebouw,30.215846994535518
Afvoer vergadercentrum,14.002732240437158
Toevoer vergardercentrum,14.655737704918034
Afvoer 1 keuken,15.478142076502733
Toevoer auditorium,18.0327868852459
Afvoer auditorium,12.748633879781421
Toevoer keuken,45.322404371584696
Afvoer 2 keuken,14.6448087431694
