fan,r2,mae,train_size,test_size,last_train_date,first_test_date,last_test_date
Toevoer toren 1,-0.10590509126639258,0.663790913010589,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 1,-0.07245313712905821,0.30681487697938115,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 3,-0.009172664198035863,0.4529120457691482,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 2,-0.0363888207409071,0.6249656780089639,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 2,-0.05983798844173771,0.31521342130670554,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 3,-0.04299703584864756,0.6040654401535278,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 4,-0.009154304398224289,0.4334055041128343,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 5,-0.09346881521994388,0.5520153102074654,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 5,-0.40263624526041397,0.4423430906562919,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 4,-0.018453304326607745,0.47701644913223623,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 7,-1.0251492341712933,1.9795438763440913,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 6,-0.00014486747649233855,0.4713052460803286,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 6,8.444758638559424e-05,0.29548893523030073,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 7,-0.6900563537268858,0.793795592528917,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer toren 8,-0.8335690397994311,0.43889413953098033,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer toren 8,-0.7185226070445005,0.6604475895930223,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer bijgebouw,-0.1894711614044402,0.7838668531901074,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer bijgebouw,-0.2607814103996897,0.5838112006028715,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer vergadercentrum,0.0007973018523724784,0.27031797641658684,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer vergardercentrum,-0.004477112267591288,0.29423837180677376,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer 1 keuken,-0.023378822521698428,0.24246874102006363,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer auditorium,-0.35906245129063974,0.5079158897964757,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer auditorium,-0.37265664086498806,0.45977647078401573,923,365,2024-06-04,2024-06-05,2025-06-04
Toevoer keuken,-0.024407686585939947,0.6717039394212218,923,365,2024-06-04,2024-06-05,2025-06-04
Afvoer 2 keuken,-0.021963620240770698,0.23063042062561048,923,365,2024-06-04,2024-06-05,2025-06-04
