Fan,R_squared,MAE,Samples
Toevoer toren 1,0.0001732107676457595,0.5788529489924554,1288
Afvoer toren 1,0.0007223207918574115,0.2814392184779663,1288
Afvoer toren 3,0.006696646412763019,0.40221701597439896,1288
Toevoer toren 2,0.00023989132062018914,0.56585739537576,1288
Afvoer toren 2,-0.0003708663665107359,0.27675176137839963,1288
Toevoer toren 3,0.0035060928784214074,0.4976315723131804,1288
Afvoer toren 4,0.0032679435065755547,0.592441177422187,1288
Toevoer toren 5,0.026522089593884357,0.38139321141518273,1288
Afvoer toren 5,0.4386196637785674,0.2363218637426285,1288
Toevoer toren 4,0.003839305236449153,0.5355878468795924,1288
Toevoer toren 7,0.03420838411921323,0.8235046188208074,1288
Toevoer toren 6,0.003973074605497562,0.44456867776446796,1288
Afvoer toren 6,0.00724910264537959,0.27242885370250614,1288
Afvoer toren 7,0.007078906985088063,0.42535718702102776,1288
Afvoer toren 8,0.0523659874412733,0.332388061141687,1288
Toevoer toren 8,0.08022264654891675,0.5210355392551718,1288
Toevoer bijgebouw,0.025512408314674273,0.6966972668445279,1288
Afvoer bijgebouw,0.03110042764316434,0.505393164401657,1288
Afvoer vergadercentrum,0.0005175312898474393,0.306620991919479,1288
Toevoer vergardercentrum,0.0008382936408763975,0.31305656344501326,1288
Afvoer 1 keuken,0.002483488162983827,0.2885378994704918,1288
Toevoer auditorium,0.03934909219408578,0.4892523184639742,1288
Afvoer auditorium,0.0736660652263843,0.4079251250612572,1288
Toevoer keuken,0.0008657352766953119,0.8223625190073958,1288
Afvoer 2 keuken,0.002764367094626241,0.27299597154598226,1288
